roomID | time | ルール | Player1  Player2 Player3
C6529 | 22:11 | 三般南喰赤－ | ソギモギ皇帝(+82.0) ニートしたい(-23.0) さかかきばら(-59.0)
C6529 | 22:12 | 三般南喰赤－ | バラク・オマタ(+60.0) 場代負け(+4.0) 鳥谷タカシ(-64.0)
C6529 | 22:24 | 三般南喰赤－ | 場代負け(+69.0) バラク・オマタ(-23.0) ソギモギ皇帝(-46.0)
C6529 | 22:40 | 三般南喰赤－ | ニートしたい(+60.0) バラク・オマタ(-4.0) ソギモギ皇帝(-56.0)
C6529 | 22:59 | 三般南喰赤－ | ニートしたい(+42.0) ソギモギ皇帝(-1.0) 場代負け(-41.0)
C6529 | 23:10 | 三般南喰赤－ | バラク・オマタ(+34.0) 場代負け(-3.0) ニートしたい(-31.0)
C6529 | 23:19 | 三般南喰赤－ | バラク・オマタ(+40.0) ニートしたい(-4.0) ソギモギ皇帝(-36.0)
C6529 | 23:34 | 三般南喰赤－ | バラク・オマタ(+90.0) ソギモギ皇帝(-14.0) 場代負け(-76.0)
C6529 | 23:54 | 三般南喰赤－ | ソギモギ皇帝(+89.0) バラク・オマタ(-3.0) ニートしたい(-86.0)
#4/10
C6529 | 00:12 | 三般南喰赤－ | Toshi624(+44.0) ソギモギ皇帝(+2.0) 場代負け(-46.0)
C6529 | 00:27 | 三般南喰赤－ | ニートしたい(+38.0) バラク・オマタ(-8.0) Toshi624(-30.0)
C6529 | 00:38 | 三般南喰赤－ | ニートしたい(+49.0) ソギモギ皇帝(-13.0) 場代負け(-36.0)
C6529 | 00:49 | 三般南喰赤－ | ニートしたい(+59.0) Toshi624(-15.0) バラク・オマタ(-44.0)
C6529 | 01:01 | 三般南喰赤－ | ニートしたい(+65.0) ソギモギ皇帝(-2.0) 場代負け(-63.0)
C6529 | 01:16 | 三般南喰赤－ | バラク・オマタ(+48.0) Toshi624(+1.0) ニートしたい(-49.0)
C6529 | 01:28 | 三般南喰赤－ | ソギモギ皇帝(+56.0) 場代負け(-10.0) バラク・オマタ(-46.0)
C6529 | 01:37 | 三般南喰赤－ | ソギモギ皇帝(+34.0) ニートしたい(-2.0) Toshi624(-32.0)
C6529 | 01:51 | 三般南喰赤－ | 場代負け(+42.0) ソギモギ皇帝(-4.0) バラク・オマタ(-38.0)
C6529 | 02:05 | 三般南喰赤－ | 場代負け(+44.0) ニートしたい(0.0) Toshi624(-44.0)
C6529 | 02:18 | 三般南喰赤－ | ニートしたい(+53.0) Toshi624(-14.0) 場代負け(-39.0)
C6529 | 02:32 | 三般南喰赤－ | 場代負け(+38.0) Toshi624(-6.0) ニートしたい(-32.0)
C6529 | 02:45 | 三般南喰赤－ | 場代負け(+81.0) ニートしたい(-25.0) Toshi624(-56.0)
C6529 | 03:03 | 三般南喰赤－ | Toshi624(+51.0) 場代負け(-14.0) ニートしたい(-37.0)
C6529 | 03:17 | 三般南喰赤－ | Toshi624(+38.0) 場代負け(-5.0) ニートしたい(-33.0)
C6529 | 03:31 | 三般南喰赤－ | 場代負け(+43.0) Toshi624(+2.0) ニートしたい(-45.0)
C6529 | 03:44 | 三般南喰赤－ | Toshi624(+41.0) 場代負け(-9.0) ニートしたい(-32.0)
C6529 | 03:57 | 三般南喰赤－ | 場代負け(+50.0) Toshi624(-4.0) ニートしたい(-46.0)
C6529 | 04:12 | 三般南喰赤－ | ニートしたい(+64.0) Toshi624(-14.0) 場代負け(-50.0)
C6529 | 04:24 | 三般南喰赤－ | Toshi624(+87.0) ニートしたい(-21.0) 場代負け(-66.0)
C6529 | 04:46 | 三般南喰赤－ | Toshi624(+41.0) ニートしたい(0.0) 場代負け(-41.0)
C6529 | 05:03 | 三般南喰赤－ | Toshi624(+53.0) 場代負け(-9.0) ニートしたい(-44.0)
C6529 | 05:18 | 三般南喰赤－ | ニートしたい(+38.0) 場代負け(-7.0) Toshi624(-31.0)
C6529 | 05:31 | 三般南喰赤－ | Toshi624(+101.0) ニートしたい(-12.0) 場代負け(-89.0)
C6529 | 05:51 | 三般南喰赤－ | Toshi624(+45.0) ニートしたい(-11.0) 場代負け(-34.0)
C6529 | 06:07 | 三般南喰赤－ | Toshi624(+76.0) ニートしたい(+6.0) 場代負け(-82.0)
C6529 | 08:39 | 三般南喰赤－ | バラク・オマタ(+45.0) ソギモギ皇帝(+5.0) さかかきばら(-50.0)
C6529 | 22:01 | 三般南喰赤－ | 場代負け(+32.0) バラク・オマタ(-4.0) ニートしたい(-28.0)
C6529 | 22:15 | 三般南喰赤－ | ニートしたい(+47.0) 場代負け(+10.0) バラク・オマタ(-57.0)
C6529 | 22:28 | 三般南喰赤－ | バラク・オマタ(+46.0) 場代負け(+1.0) ニートしたい(-47.0)
C6529 | 22:44 | 三般南喰赤－ | バラク・オマタ(+35.0) 場代負け(-1.0) ニートしたい(-34.0)
C6529 | 23:00 | 三般南喰赤－ | 場代負け(+62.0) ニートしたい(-19.0) バラク・オマタ(-43.0)
C6529 | 23:10 | 三般南喰赤－ | ニートしたい(+50.0) バラク・オマタ(-12.0) 場代負け(-38.0)
C6529 | 23:18 | 三般南喰赤－ | バラク・オマタ(+74.0) ニートしたい(+6.0) 場代負け(-80.0)
C6529 | 23:38 | 三般南喰赤－ | 場代負け(+72.0) ニートしたい(-17.0) バラク・オマタ(-55.0)
C6529 | 23:49 | 三般南喰赤－ | バラク・オマタ(+43.0) 場代負け(-6.0) ニートしたい(-37.0)
C6529 | 23:57 | 三般南喰赤－ | バラク・オマタ(+78.0) ニートしたい(-12.0) 場代負け(-66.0)
C6529 | 00:13 | 三般南喰赤－ | ニートしたい(+53.0) バラク・オマタ(-10.0) 場代負け(-43.0)
C6529 | 00:26 | 三般南喰赤－ | 場代負け(+95.0) ニートしたい(-19.0) バラク・オマタ(-76.0)
C6529 | 00:41 | 三般南喰赤－ | ニートしたい(+79.0) バラク・オマタ(-27.0) 場代負け(-52.0)
C6529 | 01:03 | 三般南喰赤－ | バラク・オマタ(+45.0) 場代負け(-7.0) ニートしたい(-38.0)
C6529 | 01:21 | 三般南喰赤－ | 場代負け(+56.0) ニートしたい(-1.0) バラク・オマタ(-55.0)
C6529 | 01:36 | 三般南喰赤－ | 場代負け(+60.0) ニートしたい(-15.0) バラク・オマタ(-45.0)
C6529 | 01:51 | 三般南喰赤－ | バラク・オマタ(+41.0) 場代負け(-9.0) ニートしたい(-32.0)
C6529 | 02:06 | 三般南喰赤－ | 場代負け(+83.0) ニートしたい(-31.0) バラク・オマタ(-52.0)
C6529 | 02:23 | 三般南喰赤－ | ニートしたい(+36.0) バラク・オマタ(-2.0) 場代負け(-34.0)
C6529 | 02:39 | 三般南喰赤－ | ニートしたい(+42.0) バラク・オマタ(+3.0) 場代負け(-45.0)
C6529 | 02:50 | 三般南喰赤－ | ニートしたい(+40.0) 場代負け(+3.0) バラク・オマタ(-43.0)
C6529 | 02:59 | 三般南喰赤－ | バラク・オマタ(+49.0) 場代負け(-4.0) ニートしたい(-45.0)
C6529 | 03:11 | 三般南喰赤－ | ニートしたい(+33.0) 場代負け(-4.0) バラク・オマタ(-29.0)
C6529 | 03:22 | 三般南喰赤－ | バラク・オマタ(+38.0) ニートしたい(0.0) 場代負け(-38.0)
C6529 | 03:34 | 三般南喰赤－ | 場代負け(+51.0) ニートしたい(-11.0) バラク・オマタ(-40.0)
C6529 | 03:49 | 三般南喰赤－ | ニートしたい(+35.0) バラク・オマタ(0.0) 場代負け(-35.0)
C6529 | 23:13 | 三般南喰赤－ | ニートしたい(+62.0) ソギモギ皇帝(-6.0) バラク・オマタ(-56.0)
C6529 | 23:28 | 三般南喰赤－ | バラク・オマタ(+48.0) ニートしたい(-4.0) ソギモギ皇帝(-44.0)
C6529 | 23:48 | 三般南喰赤－ | バラク・オマタ(+55.0) ニートしたい(-8.0) ソギモギ皇帝(-47.0)
C6529 | 20:35 | 三般南喰赤－ | さかかきばら(+63.0) 鳥谷タカシ(0.0) ニートしたい(-63.0)
C6529 | 20:47 | 三般南喰赤－ | 鳥谷タカシ(+54.0) ニートしたい(-16.0) さかかきばら(-38.0)
C6529 | 21:00 | 三般南喰赤－ | さかかきばら(+51.0) 鳥谷タカシ(-15.0) ニートしたい(-36.0)
C6529 | 21:15 | 三般南喰赤－ | 場代負け(+63.0) さかかきばら(-15.0) 鳥谷タカシ(-48.0)
C6529 | 21:35 | 三般南喰赤－ | ソギモギ皇帝(+52.0) 場代負け(-3.0) さかかきばら(-49.0)
C6529 | 21:51 | 三般南喰赤－ | ソギモギ皇帝(+42.0) 場代負け(-9.0) さかかきばら(-33.0)
C6529 | 22:06 | 三般南喰赤－ | ソギモギ皇帝(+46.0) 場代負け(+4.0) さかかきばら(-50.0)
C6529 | 22:19 | 三般南喰赤－ | さかかきばら(+48.0) ソギモギ皇帝(-1.0) 場代負け(-47.0)
C6529 | 22:35 | 三般南喰赤－ | ソギモギ皇帝(+102.0) バラク・オマタ(-24.0) 場代負け(-78.0)
C6529 | 22:53 | 三般南喰赤－ | ソギモギ皇帝(+41.0) バラク・オマタ(+1.0) 場代負け(-42.0)
C6529 | 23:09 | 三般南喰赤－ | ソギモギ皇帝(+54.0) 場代負け(-10.0) バラク・オマタ(-44.0)
C6529 | 17:59 | 三般南喰赤－ | バラク・オマタ(+111.0) ニートしたい(0.0) 場代負け(-111.0)
C6529 | 18:17 | 三般南喰赤－ | ニートしたい(+54.0) 場代負け(+16.0) バラク・オマタ(-70.0)
C6529 | 19:11 | 三般南喰赤－ | バラク・オマタ(+44.0) ニートしたい(+3.0) ソギモギ皇帝(-47.0)
C6529 | 19:38 | 三般南喰赤－ | ソギモギ皇帝(+71.0) バラク・オマタ(-19.0) ニートしたい(-52.0)
C6529 | 19:58 | 三般南喰赤－ | 場代負け(+44.0) バラク・オマタ(+3.0) ソギモギ皇帝(-47.0)
C6529 | 20:11 | 三般南喰赤－ | バラク・オマタ(+46.0) ソギモギ皇帝(-1.0) 場代負け(-45.0)
C6529 | 20:29 | 三般南喰赤－ | バラク・オマタ(+36.0) ソギモギ皇帝(-4.0) 場代負け(-32.0)
C6529 | 20:41 | 三般南喰赤－ | バラク・オマタ(+67.0) 場代負け(-21.0) ソギモギ皇帝(-46.0)
C6529 | 20:58 | 三般南喰赤－ | バラク・オマタ(+49.0) ソギモギ皇帝(-11.0) 場代負け(-38.0)
C6529 | 21:13 | 三般南喰赤－ | バラク・オマタ(+65.0) ソギモギ皇帝(-10.0) 場代負け(-55.0)
C6529 | 21:29 | 三般南喰赤－ | バラク・オマタ(+73.0) ソギモギ皇帝(-17.0) 場代負け(-56.0)
C6529 | 21:43 | 三般南喰赤－ | バラク・オマタ(+69.0) ソギモギ皇帝(+4.0) 場代負け(-73.0)
C6529 | 23:55 | 三般南喰赤－ | Toshi624(+76.0) バラク・オマタ(-24.0) ソギモギ皇帝(-52.0)
C6529 | 20:06 | 三般南喰赤－ | ソギモギ皇帝(+50.0) ニートしたい(+15.0) 鳥谷タカシ(-65.0)
C6529 | 20:19 | 三般南喰赤－ | ソギモギ皇帝(+94.0) 鳥谷タカシ(-17.0) ニートしたい(-77.0)
C6529 | 20:45 | 三般南喰赤－ | 鳥谷タカシ(+57.0) ソギモギ皇帝(-18.0) バラク・オマタ(-39.0)
C6529 | 20:59 | 三般南喰赤－ | ソギモギ皇帝(+37.0) バラク・オマタ(-4.0) 鳥谷タカシ(-33.0)
C6529 | 21:16 | 三般南喰赤－ | ソギモギ皇帝(+41.0) バラク・オマタ(-3.0) 鳥谷タカシ(-38.0)
C6529 | 21:29 | 三般南喰赤－ | 鳥谷タカシ(+37.0) バラク・オマタ(+2.0) ソギモギ皇帝(-39.0)
C6529 | 21:44 | 三般南喰赤－ | ニートしたい(+87.0) ソギモギ皇帝(-1.0) バラク・オマタ(-86.0)
C6529 | 22:07 | 三般南喰赤－ | バラク・オマタ(+77.0) ニートしたい(+5.0) ソギモギ皇帝(-82.0)
C6529 | 22:28 | 三般南喰赤－ | ソギモギ皇帝(+37.0) バラク・オマタ(-8.0) ニートしたい(-29.0)
C6529 | 22:43 | 三般南喰赤－ | ソギモギ皇帝(+51.0) バラク・オマタ(-14.0) ニートしたい(-37.0)
C6529 | 19:53 | 三般南喰赤－ | ソギモギ皇帝(+46.0) バラク・オマタ(-1.0) ニートしたい(-45.0)
C6529 | 20:05 | 三般南喰赤－ | ソギモギ皇帝(+37.0) ニートしたい(-4.0) バラク・オマタ(-33.0)
C6529 | 20:23 | 三般南喰赤－ | 鳥谷タカシ(+47.0) さかかきばら(-6.0) 場代負け(-41.0)
C6529 | 20:24 | 三般南喰赤－ | ニートしたい(+45.0) バラク・オマタ(-7.0) ソギモギ皇帝(-38.0)
C6529 | 20:34 | 三般南喰赤－ | 鳥谷タカシ(+49.0) 場代負け(+1.0) さかかきばら(-50.0)
C6529 | 20:36 | 三般南喰赤－ | ソギモギ皇帝(+40.0) バラク・オマタ(-5.0) ニートしたい(-35.0)
C6529 | 20:46 | 三般南喰赤－ | さかかきばら(+46.0) 場代負け(-10.0) 鳥谷タカシ(-36.0)
C6529 | 20:52 | 三般南喰赤－ | バラク・オマタ(+35.0) ニートしたい(-7.0) ソギモギ皇帝(-28.0)
C6529 | 21:12 | 三般南喰赤－ | 鳥谷タカシ(+36.0) ソギモギ皇帝(-1.0) バラク・オマタ(-35.0)
C6529 | 21:22 | 三般南喰赤－ | バラク・オマタ(+48.0) ソギモギ皇帝(-2.0) 鳥谷タカシ(-46.0)
C6529 | 21:34 | 三般南喰赤－ | 鳥谷タカシ(+58.0) ソギモギ皇帝(-6.0) バラク・オマタ(-52.0)
C6529 | 21:44 | 三般南喰赤－ | 鳥谷タカシ(+47.0) ソギモギ皇帝(-11.0) バラク・オマタ(-36.0)
#4/17
C6529 | 19:15 | 三般南喰赤－ | Toshi624(+74.0) ソギモギ皇帝(+2.0) バラク・オマタ(-76.0)
C6529 | 19:37 | 三般南喰赤－ | ソギモギ皇帝(+37.0) Toshi624(0.0) バラク・オマタ(-37.0)
C6529 | 19:50 | 三般南喰赤－ | バラク・オマタ(+48.0) ソギモギ皇帝(+1.0) Toshi624(-49.0)
C6529 | 20:03 | 三般南喰赤－ | ソギモギ皇帝(+43.0) ニートしたい(-2.0) バラク・オマタ(-41.0)
C6529 | 20:16 | 三般南喰赤－ | ニートしたい(+54.0) ソギモギ皇帝(0.0) バラク・オマタ(-54.0)
C6529 | 20:35 | 三般南喰赤－ | Toshi624(+41.0) ソギモギ皇帝(-8.0) バラク・オマタ(-33.0)
C6529 | 20:45 | 三般南喰赤－ | Toshi624(+40.0) ソギモギ皇帝(-8.0) バラク・オマタ(-32.0)
C6529 | 20:56 | 三般南喰赤－ | ソギモギ皇帝(+47.0) Toshi624(-4.0) バラク・オマタ(-43.0)
C6529 | 21:12 | 三般南喰赤－ | バラク・オマタ(+46.0) Toshi624(-12.0) ソギモギ皇帝(-34.0)
C6529 | 21:33 | 三般南喰赤－ | Toshi624(+68.0) ソギモギ皇帝(-14.0) ニートしたい(-54.0)
C6529 | 21:52 | 三般南喰赤－ | ニートしたい(+80.0) ソギモギ皇帝(-23.0) Toshi624(-57.0)
C6529 | 22:12 | 三般南喰赤－ | ソギモギ皇帝(+101.0) ニートしたい(-2.0) Toshi624(-99.0)
C6529 | 22:33 | 三般南喰赤－ | Toshi624(+43.0) ニートしたい(-5.0) ソギモギ皇帝(-38.0)
C6529 | 22:44 | 三般南喰赤－ | ニートしたい(+60.0) Toshi624(-1.0) ソギモギ皇帝(-59.0)
C6529 | 23:07 | 三般南喰赤－ | ニートしたい(+40.0) ソギモギ皇帝(-5.0) Toshi624(-35.0)
C6529 | 23:21 | 三般南喰赤－ | ニートしたい(+71.0) Toshi624(-6.0) ソギモギ皇帝(-65.0)
C6529 | 23:40 | 三般南喰赤－ | Toshi624(+69.0) ニートしたい(-23.0) ソギモギ皇帝(-46.0)
#4/18
C6529 | 00:09 | 三般南喰赤－ | ニートしたい(+42.0) ソギモギ皇帝(+5.0) Toshi624(-47.0)
C6529 | 00:23 | 三般南喰赤－ | ソギモギ皇帝(+41.0) ニートしたい(+1.0) Toshi624(-42.0)
C6529 | 00:37 | 三般南喰赤－ | ソギモギ皇帝(+39.0) Toshi624(-1.0) ニートしたい(-38.0)
C6529 | 00:56 | 三般南喰赤－ | Toshi624(+53.0) ソギモギ皇帝(+18.0) ニートしたい(-71.0)
C6529 | 01:14 | 三般南喰赤－ | Toshi624(+85.0) ニートしたい(-8.0) ソギモギ皇帝(-77.0)
C6529 | 01:35 | 三般南喰赤－ | ソギモギ皇帝(+39.0) Toshi624(+4.0) ニートしたい(-43.0)
C6529 | 01:49 | 三般南喰赤－ | ソギモギ皇帝(+34.0) Toshi624(-6.0) ニートしたい(-28.0)
C6529 | 02:07 | 三般南喰赤－ | ソギモギ皇帝(+68.0) Toshi624(-22.0) ニートしたい(-46.0)
C6529 | 02:20 | 三般南喰赤－ | Toshi624(+55.0) ニートしたい(-16.0) ソギモギ皇帝(-39.0)
C6529 | 02:33 | 三般南喰赤－ | ソギモギ皇帝(+52.0) Toshi624(+14.0) ニートしたい(-66.0)
C6529 | 02:44 | 三般南喰赤－ | ソギモギ皇帝(+44.0) Toshi624(+6.0) ニートしたい(-50.0)
C6529 | 02:58 | 三般南喰赤－ | ニートしたい(+53.0) ソギモギ皇帝(-14.0) Toshi624(-39.0)
C6529 | 18:16 | 三般南喰赤－ | Toshi624(+54.0) ニートしたい(-8.0) 場代負け(-46.0)
C6529 | 18:31 | 三般南喰赤－ | ニートしたい(+58.0) Toshi624(-8.0) 場代負け(-50.0)
C6529 | 18:49 | 三般南喰赤－ | 場代負け(+48.0) ニートしたい(-4.0) Toshi624(-44.0)
C6529 | 19:04 | 三般南喰赤－ | ニートしたい(+54.0) 場代負け(-14.0) Toshi624(-40.0)
C6529 | 19:19 | 三般南喰赤－ | ニートしたい(+58.0) Toshi624(+6.0) 場代負け(-64.0)
C6529 | 19:42 | 三般南喰赤－ | 場代負け(+42.0) ニートしたい(-5.0) Toshi624(-37.0)
C6529 | 19:59 | 三般南喰赤－ | Toshi624(+50.0) 場代負け(-8.0) ニートしたい(-42.0)
C6529 | 20:14 | 三般南喰赤－ | ニートしたい(+39.0) Toshi624(-9.0) 場代負け(-30.0)
C6529 | 20:40 | 三般南喰赤－ | ニートしたい(+37.0) 場代負け(-1.0) Toshi624(-36.0)
#4/19
C6529 | 18:24 | 三般南喰赤－ | 場代負け(+90.0) バラク・オマタ(-14.0) ニートしたい(-76.0)
C6529 | 18:43 | 三般南喰赤－ | ニートしたい(+51.0) バラク・オマタ(-11.0) 場代負け(-40.0)
C6529 | 18:56 | 三般南喰赤－ | 場代負け(+58.0) バラク・オマタ(-7.0) ニートしたい(-51.0)
C6529 | 19:05 | 三般南喰赤－ | バラク・オマタ(+51.0) ニートしたい(-8.0) 場代負け(-43.0)
C6529 | 19:18 | 三般南喰赤－ | 場代負け(+50.0) バラク・オマタ(-11.0) ニートしたい(-39.0)
C6529 | 19:32 | 三般南喰赤－ | バラク・オマタ(+59.0) ニートしたい(-16.0) 場代負け(-43.0)
