第2シーズン
20200524
C6529 | 16:42 | 三般南喰赤祝 | ソギモギ皇帝(+62.0,+8枚) Toshi624(-1.0,-7枚) 場代負け(-61.0,-1枚)
C6529 | 17:12 | 三般南喰赤祝 | ソギモギ皇帝(+45.0,0枚) 鳥谷タカシ(-7.0,0枚) Toshi624(-38.0,0枚)
C6529 | 21:16 | 三般南喰赤祝 | kitagaw(+61.0,+1枚) 鳥谷タカシ(-9.0,0枚) バラク・オマタ(-52.0,-1枚)
C6529 | 21:30 | 三般南喰赤祝 | 鳥谷タカシ(+48.0,+3枚) kitagaw(-9.0,+2枚) バラク・オマタ(-39.0,-5枚)
C6529 | 21:44 | 三般南喰赤祝 | 鳥谷タカシ(+97.0,+6枚) バラク・オマタ(-18.0,+2枚) kitagaw(-79.0,-8枚)
C6529 | 22:00 | 三般南喰赤祝 | kitagaw(+47.0,0枚) ソギモギ皇帝(-1.0,-1枚) バラク・オマタ(-46.0,+1枚)
C6529 | 22:16 | 三般南喰赤祝 | バラク・オマタ(+53.0,-1枚) とぅーり王(-2.0,+4枚) ソギモギ皇帝(-51.0,-3枚)
C6529 | 22:38 | 三般南喰赤祝 | とぅーり王(+65.0,+1枚) ソギモギ皇帝(-7.0,-3枚) バラク・オマタ(-58.0,+2枚)
C6529 | 22:53 | 三般南喰赤祝 | ソギモギ皇帝(+42.0,+1枚) バラク・オマタ(-4.0,0枚) とぅーり王(-38.0,-1枚)
C6529 | 23:06 | 三般南喰赤祝 | バラク・オマタ(+70.0,+2枚) とぅーり王(+4.0,-1枚) ソギモギ皇帝(-74.0,-1枚)
C6529 | 23:21 | 三般南喰赤祝 | ニートしたい(+76.0,+8枚) バラク・オマタ(-22.0,-3枚) ソギモギ皇帝(-54.0,-5枚)
C6529 | 23:37 | 三般南喰赤祝 | バラク・オマタ(+54.0,-1枚) ソギモギ皇帝(-7.0,+3枚) ニートしたい(-47.0,-2枚)
C6529 | 23:47 | 三般南喰赤祝 | ニートしたい(+44.0,+9枚) バラク・オマタ(-2.0,-4枚) ソギモギ皇帝(-42.0,-5枚)
20200531
